Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
86.84655165672302,-45,238,-4300,468,-630,184
87.3463363647461,-499,-353,-4082,3281,-535,528
87.84501576423645,21,-346,-4129,-119,136,359
88.34599709510803,-49,693,-4181,-590,101,39
88.84427976608276,104,44,-4361,-558,195,204
89.34329104423523,1,-361,-4041,-58,332,33
89.84770774841309,-136,-445,-3995,-17,-247,191
90.34793543815613,-1,-348,-4092,-61,24,54
90.84647583961487,50,240,-4407,22,-321,129
91.36286282539368,-48,-346,-4104,-430,134,-114
91.8491837978363,222,-539,-4281,-447,778,51
92.36289739608765,-86,-665,-4160,-265,414,285
92.84948444366455,-230,-376,-4104,871,233,-29
93.34597325325012,37,-57,-4102,-241,89,102
93.86407780647278,82,-444,-4043,-7,352,-172
94.36611461639404,-80,-429,-4334,657,659,60
94.86166787147522,-125,-1577,-4067,568,-175,261
95.3579831123352,-51,-657,-4041,-35,-51,120
95.85928654670715,6,404,-3855,-628,-73,50
96.36055111885071,-115,472,-4094,67,-119,134
96.8613212108612,32,0,-4312,131,552,138
97.3463408946991,-47,-559,-4078,555,-25,-204
97.84562134742737,-21,-796,-4203,154,211,97
98.34159016609192,-322,-714,-4096,-134,62,-77
98.84292149543762,-129,-239,-4225,276,-318,-39
99.34760880470276,-58,212,-4113,106,163,-53
99.84639120101929,300,-502,-4206,884,784,-186
100.34315609931946,17,-842,-4052,585,302,311
100.84722542762756,-5,-740,-4080,-912,704,-89
101.34895586967468,24,662,-4170,129,228,113
101.84917044639587,-44,14,-4039,-16,117,18
102.34540462493896,-23,-528,-4168,774,-55,-392
102.85029864311218,-59,-907,-4044,535,255,2
103.34943747520447,-12,-780,-4025,424,-140,21
103.8645749092102,354,396,-4354,-3573,487,152
104.34587574005127,-49,-197,-4141,581,-723,176
104.84531044960022,-20,11,-4108,-181,144,-37
105.366774559021,-247,-49,-3878,-211,52,38
105.84689354896545,50,-362,-4043,-201,390,36
106.34747910499573,316,-831,-4248,-103,809,-68
106.84882354736328,5,-240,-4138,-270,121,-7
107.35202240943909,-134,-6,-4190,-8,-729,27
107.84840130805969,-14,-441,-4253,-944,-8,-40
108.36414170265198,154,-534,-4045,433,201,52
108.84926176071167,-33,474,-4193,-1260,226,65
109.3711953163147,-46,192,-4119,-157,76,36
109.86507606506348,99,-31,-3888,-162,841,290
110.36332082748413,24,-473,-4152,-35,184,-11
110.86448454856873,-216,-819,-4188,-314,-629,90
111.36970138549805,66,425,-4055,852,144,79
111.86653208732605,46,-3,-4014,33,331,92
112.36889290809631,89,-1335,-4047,1442,-101,-21
112.86984515190125,47,-1036,-4045,-152,136,203
113.36876368522644,-175,-604,-4114,-431,-1611,-183
113.87002825737,-86,-240,-4036,170,-79,51
114.371408700943,-59,74,-4114,-51,83,-20
114.86979866027832,5,-1149,-4194,1087,-187,-159
115.36283159255981,-38,-955,-4032,-377,-70,-156
115.86941361427307,-63,-599,-3925,-202,14,103
116.36882019042969,-253,91,-4205,21,-11,-31
116.86884331703186,-5,-85,-4140,95,153,-1
117.36726713180542,-196,-477,-4024,1287,175,-42
117.86954617500305,-40,-666,-4117,278,28,286
118.36634373664856,-22,-753,-3944,43,-122,127
118.87321853637695,-198,518,-4080,723,810,85
119.3692934513092,-3,21,-4081,-165,115,169
119.87036061286926,206,-360,-4475,-2214,-401,-85
120.36777639389038,-1,-345,-4099,-19,101,110
120.86655783653259,3,-331,-4099,-93,100,30
121.36943364143372,66,-653,-4005,-399,68,100
121.86873269081116,-16,-283,-3996,782,51,-43
122.37134075164795,108,63,-4585,-586,446,-131
122.86826825141907,27,-772,-3998,479,46,-97
123.36985564231873,16,-458,-4125,-380,-40,132
123.86984467506409,9,-170,-4038,-323,106,89
124.37069320678711,-59,-1540,-4005,-81,-43,366
124.87050247192383,32,-623,-4099,-709,-76,-36
125.37128829956055,6,-75,-4088,-402,109,26
125.8704183101654,25,-579,-3879,1535,818,-129
126.37022471427917,-21,-481,-4087,-31,31,45
126.87034821510315,-88,429,-4114,649,31,243
127.36885166168213,65,-1279,-4008,1635,210,398
127.87083554267883,-63,-909,-4042,-595,272,8
128.37114143371582,-39,23,-4156,428,13,-12
128.87045907974243,-14,-142,-3900,-151,107,-18
129.37345695495605,244,-709,-4358,-1300,485,-211
129.87031388282776,24,-545,-4103,-172,-62,-10
130.3709592819214,-42,610,-4018,-661,-368,190
130.86969256401062,-10,162,-4103,-76,4,54
131.37089610099792,-113,-1564,-4073,2190,-201,221
131.86883115768433,40,-969,-4164,-590,113,112
132.36962151527405,-161,399,-4114,578,-416,117
132.86975765228271,27,-702,-4019,-511,447,-63
133.37038779258728,80,-1038,-4225,-194,101,-159
133.87128829956055,159,575,-4350,689,123,171
134.3708553314209,39,9,-4121,279,3,-84
134.8713881969452,-71,-1532,-4045,484,-106,202
135.3745813369751,18,-522,-4140,-876,70,-62
135.8734953403473,-41,542,-4166,-498,271,63
136.36999440193176,-9,139,-4147,-169,204,82
136.8702735900879,-30,-1565,-3938,763,-157,229
137.37022519111633,-38,-643,-4103,-260,-368,-129
137.87362051010132,-20,-279,-4140,-250,88,89
138.3747434616089,180,-1325,-4291,1422,745,42
138.87069368362427,-201,-702,-4137,-846,-721,9
139.37634086608887,-21,384,-4032,-565,649,75
139.87021255493164,7,367,-4117,-685,-19,-9
140.37042117118835,104,-14,-3860,32,331,-111
140.87165141105652,-89,-421,-4089,-466,126,-38
141.3690414428711,56,-728,-4167,-361,71,151
141.87053442001343,-149,422,-4225,-1304,-534,-15
142.37000370025635,-24,273,-4110,-147,136,74
142.8703055381775,51,-61,-3775,-694,-117,79
143.3701877593994,-150,-1050,-4127,-978,69,-208
143.87106347084045,-20,-595,-4124,-287,-6,68
144.36885929107666,-227,-501,-3822,257,267,300
144.86958932876587,-25,-295,-4077,161,107,43
145.3721809387207,-109,-345,-4189,749,430,152
145.87150144577026,17,-285,-4117,-129,92,10
146.37115621566772,1,-347,-4084,-147,107,35
146.8723349571228,-3,-315,-4096,-113,63,35
147.37282490730286,-5,-331,-4111,-110,92,51
147.87299633026123,-4,-326,-4099,-99,89,23
148.37091732025146,0,-330,-4095,-90,107,48
148.87226963043213,-15,-325,-4090,-112,97,58
149.37078022956848,-10,-330,-4096,-105,113,49
149.8710479736328,-27,-167,-3921,-980,302,74
150.37164282798767,103,-471,-4050,-562,224,200
150.87179446220398,-1,-1328,-4000,798,107,374
151.37125277519226,163,-437,-4164,-1108,-29,58
151.8724548816681,38,-279,-4106,-110,105,50
152.37113213539124,-7,-368,-4093,-96,106,39
152.87161540985107,-8,-328,-4100,-106,112,48
153.37196111679077,-4,-327,-4098,-102,134,29
153.87169075012207,-10,-337,-4110,-115,107,43
154.37677240371704,-14,-332,-4109,-108,85,61
154.87665033340454,-10,-329,-4106,-96,101,38
155.37443661689758,-7,-331,-4102,-115,68,29
155.8719778060913,-8,-329,-4103,-109,118,29
156.37224292755127,-11,-336,-4102,-95,75,61
156.88485479354858,-12,-336,-4097,-108,112,37
157.37361097335815,-15,-330,-4111,-102,84,33
157.87054920196533,-10,-334,-4102,-108,88,39
158.37123942375183,-13,-329,-4100,-105,96,37
158.88573288917542,-9,-346,-4114,-101,96,46
159.3857307434082,0,-327,-4098,-115,92,39
159.88454842567444,8,-319,-4110,-77,71,64
160.38649988174438,-8,-336,-4103,-99,117,11
160.88604259490967,-7,-327,-4098,-89,84,46
161.3863275051117,-2,-337,-4110,-90,99,40
161.8870210647583,-6,-338,-4098,-109,106,37
162.38732028007507,-9,-332,-4106,-99,94,42
